Class Code:,Assignment Name:,Start Time,End Time,Time Spent:,,Block:,Class Code:,# of Classes:,Homework/Class:,Time Budgeted:,Time Spent:,Deficit/Surplus:,Percent of Total,,Day Count:,Day:,Homework This Day:
QUEST_SB,Stuff,1:31 PM,2:27 PM,0:56,0.00,Thursday:,Meditation,Free Period!,,Spanish,Dark Arts (Magic),Astrology,,,11,32,0.21
Tuesday,DAY,8,/15,0:00,0.08,Friday:,Spanish,Water,,More Water!,MOAR WATER!,Physics,,,12,33,0.04
QUEST_SB,Stuff,9:21 AM,10:17 AM,0:56,0,,,,,,,,,,12,34,0.03
QUEST_SB,Learning TOS Strategies,8:42 PM,9:39 PM,0:57,0,"TODO: *&^: http://www.politico.com/story/2013/06/this-day-in-politics-093127, http://biblehub.com/matthew/12-32.htm, https://www.newyorker.com/magazine/1996/10/21/why-i-wrote-the-crucible, https://www.nsd.org/site/handlers/filedownload.ashx?moduleinstanceid=29571&dataid=19857&FileName=Miller%20testimony%20to%20the%20HUAC.pdf, https://www.youtube.com/watch?v=sil4S_Y-XFI",,,,,,,,,12,35,0.05
Wednesday,DAY,8,/16,0:00,0.08,,,,,,,,,,13,36,0.00
QUEST_SB,More TOS + ADX/EMA,9:21 AM,10:10 AM,0:49,0.00,,,,,,,,,,13,37,0.00
QUEST_SB,LRC Testing (TOS),10:11 AM,10:21 AM,0:10,0,,,,,,,,,,13,38,0.15
QUEST_SB,LRCD in TOS_ThinkScript,10:04 PM,11:00 PM,0:56,0,,,,,,,,,,13,39,0.07
Thursday,DAY,8,/17,0:00,0.05,,,,,,,,,,14,40,0.13
QUEST_SB,Functioning LRCD on TOS,10:31 AM,11:44 AM,1:13,0.00,,,,,,,,,,14,41,0.00
Friday,DAY,8,/18,0:00,0.00,,,,,,,,,,15,42,0.04
Saturday,DAY,8,/19,0:00,0.00,,,,,,,,,,16,43,0.06
Sunday,DAY,8,/20,0:00,0.00,,,,,,,,,,17,44,0.14
Monday,DAY,8,/21,0:00,0.00,,,,,,,,,,18,45,0.12
Tuesday,DAY,8,/22,0:00,0.00,,,,,,,,,,19,46,0.09
Wednesday,DAY,8,/23,0:00,0.00,,,,,,,,,,20,47,0.08
Thursday,DAY,8,/24,0:00,0.00,,,,,,,,,,21,48,0.09
Friday,DAY,8,/25,0:00,0.05,,,,,,,,,,22,49,0.12
